key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,v2_decision,v2_reason,note,doi,keywords,pubmed_id,pmc_id
rayyan-662998318,Prediction of Sleep Stages Via Deep Learning Using Smartphone Audio Recordings in Home Environments: Model Development and Validation.,2023,1,1,,,,,,Tran HH and Hong JK and Jang H and Jung J and Kim J and Hong J and Lee M and Kim JW and Kushida CA and Lee D and Kim D and Yoon IY,https://pubmed.ncbi.nlm.nih.gov/37261889/,,,,"BACKGROUND: The growing public interest and awareness regarding the significance of sleep is driving the demand for sleep monitoring at home. In addition to various commercially available wearable and nearable devices, sound-based sleep staging via deep learning is emerging as a decent alternative for their convenience and potential accuracy. However, sound-based sleep staging has only been studied using in-laboratory sound data. In real-world sleep environments (homes), there is abundant background noise, in contrast to quiet, controlled environments such as laboratories. The use of sound-based sleep staging at homes has not been investigated while it is essential for practical use on a daily basis. Challenges are the lack of and the expected huge expense of acquiring a sufficient size of home data annotated with sleep stages to train a large-scale neural network.
OBJECTIVE: This study aims to develop and validate a deep learning method to perform sound-based sleep staging using audio recordings achieved from various uncontrolled home environments.
METHODS: To overcome the limitation of lacking home data with known sleep stages, we adopted advanced training techniques and combined home data with hospital data. The training of the model consisted of 3 components: (1) the original supervised learning using 812 pairs of hospital polysomnography (PSG) and audio recordings, and the 2 newly adopted components; (2) transfer learning from hospital to home sounds by adding 829 smartphone audio recordings at home; and (3) consistency training using augmented hospital sound data. Augmented data were created by adding 8255 home noise data to hospital audio recordings. Besides, an independent test set was built by collecting 45 pairs of overnight PSG and smartphone audio recording at homes to examine the performance of the trained model.
RESULTS: The accuracy of the model was 76.2% (63.4% for wake, 64.9% for rapid-eye movement [REM], and 83.6% for non-REM) for our test set. The macro F1-score and mean per-class sensitivity were 0.714 and 0.706, respectively. The performance was robust across demographic groups such as age, gender, BMI, or sleep apnea severity (accuracy 73.4%-79.4%). In the ablation study, we evaluated the contribution of each component. While the supervised learning alone achieved accuracy of 69.2% on home sound data, adding consistency training to the supervised learning helped increase the accuracy to a larger degree (+4.3%) than adding transfer learning (+0.1%). The best performance was shown when both transfer learning and consistency training were adopted (+7.0%).
CONCLUSIONS: This study shows that sound-based sleep staging is feasible for home use. By adopting 2 advanced techniques (transfer learning and consistency training) the deep learning model robustly predicts sleep stages using sounds recorded at various uncontrolled home environments, without using any special equipment but smartphones only.",Included,,"MARGINAL - kế thừa phương pháp xử lý nhiễu - Học chuyển vị (Transfer Learning/UDA), Huấn luyện tính nhất quán (Consistency Training)",10.2196/46216,,,
rayyan-662998321,A multimodal dataset for training deep learning models aimed at detecting and analyzing sleep apnea.,2025,1,1,,,,,,Tao J and Huang J and Miao B and Yang L,https://pubmed.ncbi.nlm.nih.gov/40681588/,,,,"Sleep Apnea Syndrome (SAS) is a serious respiratory disorder that can lead to a range of complications, including hypertension, arrhythmias, cognitive impair- ment, and metabolic disturbances. Due to the insidious nature of its symptoms, patients often fail to recognize the condition, and clinical screening is both time- consuming and resource-intensive. To address these challenges, we have developed a comprehensive dataset that integrates data from Polysomnography (PSG) devices with synchronized audio recordings. This dataset has been rigorously annotated by expert medical professionals based on PSG monitoring data, ensur- ing its accuracy and reliability. Our objective is to provide a publicly available, standardized, and high-quality data resource for the development and applica- tion of deep learning models in the field of sleep apnea syndrome. This dataset is designed to enhance diagnostic accuracy and efficiency while promoting advanced scientific research and technological innovation in this domain.",Included,,dữ liệu mở (Open-access),10.1038/s41597-025-05583-8,,,
rayyan-662998322,Real-Time Detection of Sleep Apnea Based on Breathing Sounds and Prediction Reinforcement Using Home Noises: Algorithm Development and Validation.,2023,1,1,,,,,,Le VL and Kim D and Cho E and Jang H and Reyes RD and Kim H and Lee D and Yoon IY and Hong J and Kim JW,https://pubmed.ncbi.nlm.nih.gov/36811943/,,,,"BACKGROUND: Multinight monitoring can be helpful for the diagnosis and management of obstructive sleep apnea (OSA). For this purpose, it is necessary to be able to detect OSA in real time in a noisy home environment. Sound-based OSA assessment holds great potential since it can be integrated with smartphones to provide full noncontact monitoring of OSA at home.
OBJECTIVE: The purpose of this study is to develop a predictive model that can detect OSA in real time, even in a home environment where various noises exist.
METHODS: This study included 1018 polysomnography (PSG) audio data sets, 297 smartphone audio data sets synced with PSG, and a home noise data set containing 22,500 noises to train the model to predict breathing events, such as apneas and hypopneas, based on breathing sounds that occur during sleep. The whole breathing sound of each night was divided into 30-second epochs and labeled as ""apnea,"" ""hypopnea,"" or ""no-event,"" and the home noises were used to make the model robust to a noisy home environment. The performance of the prediction model was assessed using epoch-by-epoch prediction accuracy and OSA severity classification based on the apnea-hypopnea index (AHI).
RESULTS: Epoch-by-epoch OSA event detection showed an accuracy of 86% and a macro F1-score of 0.75 for the 3-class OSA event detection task. The model had an accuracy of 92% for ""no-event,"" 84% for ""apnea,"" and 51% for ""hypopnea."" Most misclassifications were made for ""hypopnea,"" with 15% and 34% of ""hypopnea"" being wrongly predicted as ""apnea"" and ""no-event,"" respectively. The sensitivity and specificity of the OSA severity classification (AHI≥15) were 0.85 and 0.84, respectively.
CONCLUSIONS: Our study presents a real-time epoch-by-epoch OSA detector that works in a variety of noisy home environments. Based on this, additional research is needed to verify the usefulness of various multinight monitoring and real-time diagnostic technologies in the home environment.",Included,,BÀI BÁO NỀN TẢNG CỐT LÕI (SOTA Reference) cho SomniSense,10.2196/44818,,,
rayyan-662998335,Multicenter Validation of an AI-Based Snoring Model vs. Wearables for Diagnosing Sleep Apnea.,2026,1,1,,,,,,Guan H and Huang J and Liu D and Yang L and Zeng H and Huang J and Miao B,https://pubmed.ncbi.nlm.nih.gov/42158901/,,,,"BACKGROUND: Sleep apnea-hypopnea syndrome (SAHS) has high prevalence and cardiovascular/cerebrovascular comorbidities. Polysomnography (PSG) is the diagnostic gold standard but limited by complexity, cost, and accessibility; smart wearables are convenient but less accurate. This study validated an AI-based snoring-sound model and compared its diagnostic performance with a wearable, using PSG as reference.
METHODS: Adults with suspected SAHS (n = 134) were included and underwent overnight PSG, with simultaneous snoring sound and wearable signal recording. The snoring algorithm used short-time Fourier transform (STFT) spectrograms and a multiscale encoder-attention-decoder neural network for classification. Model performance was assessed using correlation analysis, intraclass correlation coefficient (ICC), Bland-Altman plots, and receiver operating characteristic (ROC) analyses. Accuracy, sensitivity, specificity, and area under the curve (AUC) values were computed for both models.
RESULTS: Disease severity was associated with variation in BMI (p < 0.001) and decreasing oxygen saturation (p < 0.001). The snoring model showed stronger correlation and higher agreement with PSG-derived AHI (r = 0.79, ICC = 0.753) than the wearable (r = 0.68). Although the snoring model yielded consistently higher AUCs, particularly in mild SAHS (AUC = 0.83 vs. 0.72, p = 0.07), the differences between methods were not statistically significant (all p > 0.05). Both models achieved excellent discriminative performance in severe SAHS (AUC ≥ 0.90).
CONCLUSION: The AI-driven snoring-sound model demonstrated comparable overall performance and numerically better performance in certain settings, particularly in identifying mild SAHS.",Excluded,IC -I,MARGINAL - Smartphone Adaptation,10.2147/nss.s582714,,,
rayyan-662998354,Fine-Grained and Lightweight OSA Detection: A CRNN-Based Model for Precise Temporal Localization of Respiratory Events in Sleep Audio.,2026,1,1,,,,,,Xu M and Li Y and Han D,https://pubmed.ncbi.nlm.nih.gov/41750725/,,,,"Background: Obstructive Sleep Apnea (OSA) is highly prevalent yet underdiagnosed due to the scarcity of Polysomnography (PSG) resources. Audio-based screening offers a scalable solution, but often lacks the granularity to precisely localize respiratory events or accurately estimate the Apnea-Hypopnea Index (AHI). This study aims to develop a fine-grained and lightweight detection framework for OSA screening, enabling precise respiratory event localization and AHI estimation using non-contact audio signals. Methods: A Dual-Stream Convolutional Recurrent Neural Network (CRNN), integrating Log Mel-spectrograms and energy profiles with BiLSTM, was proposed. The model was trained on the PSG-Audio dataset (Sismanoglio Hospital cohort, 286 subjects) and subjected to a comprehensive three-level evaluation: (1) frame-level classification performance; (2) event-level temporal localization precision, quantified by Intersection over Union (IoU) and onset/offset boundary errors; and (3) patient-level clinical utility, assessing AHI correlation, error margins, and screening performance across different severity thresholds. Generalization was rigorously validated on an independent external cohort from Beijing Tongren Hospital (60 subjects), which was specifically curated to ensure a relatively balanced distribution of disease severity. Results: On the internal test set, the model achieved a frame level macro F1 score of 0.64 and demonstrated accurate event localization, with an IoU of 0.82. In the external validation, the audio derived AHI showed a strong correlation with PSG-AHI (r = 0.96, MAE = 6.03 events/h). For screening, the model achieved sensitivities of 98.0%, 89.5%, and 89.3%, and specificities of 88.9%, 90.9%, and 100.0% at AHI thresholds of 5, 15, and 30 events per hour, respectively. Conclusions: The Fine-Grained and Lightweight Dual-Stream CRNN provides a robust, clinically interpretable solution for non-contact OSA screening. The favorable screening performance observed in the external cohort, characterized by high sensitivity for mild cases and high specificity for severe disease, highlights its potential as a reliable tool for accessible home-based screening.",Included,,CRNN song luồng (Dual-Stream CRNN),10.3390/diagnostics16040577,,,
rayyan-663007264,Improving snore detection under limited dataset through harmonic/percussive source separation and convolutional neural networks,2024,1,1,,,,,,F. D. Gonzalez-Martinez and J. J. Carabias-Orti and F. J. Canadas-Quesada and N. Ruiz-Reyes and D. Martinez-Munoz and S. Garcia-Galan,http://arxiv.org/abs/2410.23796v1,,,,"Snoring, an acoustic biomarker commonly observed in individuals with Obstructive Sleep Apnoea Syndrome (OSAS), holds significant potential for diagnosing and monitoring this recognized clinical disorder. Irrespective of snoring types, most snoring instances exhibit identifiable harmonic patterns manifested through distinctive energy distributions over time. In this work, we propose a novel method to differentiate monaural snoring from non-snoring sounds by analyzing the harmonic content of the input sound using harmonic/percussive sound source separation (HPSS). The resulting feature, based on the harmonic spectrogram from HPSS, is employed as input data for conventional neural network architectures, aiming to enhance snoring detection performance even under a limited data learning framework. To evaluate the performance of our proposal, we studied two different scenarios: 1) using a large dataset of snoring and interfering sounds, and 2) using a reduced training set composed of around 1% of the data material. In the former scenario, the proposed HPSS-based feature provides competitive results compared to other input features from the literature. However, the key advantage of the proposed method lies in the superior performance of the harmonic spectrogram derived from HPSS in a limited data learning context. In this particular scenario, using the proposed harmonic feature significantly enhances the performance of all the studied architectures in comparison to the classical input features documented in the existing literature. This finding clearly demonstrates that incorporating harmonic content enables more reliable learning of the essential time-frequency characteristics that are prevalent in most snoring sounds, even in scenarios where the amount of training data is limited.",Included,,Kế thừa xử lý nhiễu,10.1016/j.apacoust.2023.109811,,,
rayyan-663007268,A Recall-First CNN for Sleep Apnea Screening from Snoring Audio,2025,1,1,,,,,,Anushka Mallick and Afiya Noorain and Ashwin Menon and Ashita Solanki and Keertan Balaji,http://arxiv.org/abs/2510.00052v1,,,,"Sleep apnea is a serious sleep-related breathing disorder that is common and can impact health if left untreated. Currently the traditional method for screening and diagnosis is overnight polysomnography. Polysomnography is expensive and takes a lot of time, and is not practical for screening large groups of people. In this paper, we explored a more accessible option, using respiratory audio recordings to spot signs of apnea.We utilized 18 audio files.The approach involved converting breathing sounds into spectrograms, balancing the dataset by oversampling apnea segments, and applying class weights to reduce bias toward the majority class. The model reached a recall of 90.55 for apnea detection. Intentionally, prioritizing catching apnea events over general accuracy. Despite low precision,the high recall suggests potential as a low-cost screening tool that could be used at home or in basic clinical setups, potentially helping identify at-risk individuals much earlier.",Included,,\ ;  (recall-first approach),,,,
rayyan-663007271,who is snoring? snore based user recognition,2023,1,1,,,,,,Shenghao Li and Jagmohan Chauhan,http://arxiv.org/abs/2301.12209v1,,,,"Snoring is one of the most prominent symptoms of Obstructive Sleep Apnea-Hypopnea Syndrome (OSAH), a highly prevalent disease that causes repetitive collapse and cessation of the upper airway. Thus, accurate snore sound monitoring and analysis is crucial. However, the traditional monitoring method polysomnography (PSG) requires the patients to stay at a sleep clinic for the whole night and be connected to many pieces of equipment. An alternative and less invasive way is passive monitoring using a smartphone at home or in the clinical settings. But, there is a challenge: the environment may be shared by people such that the raw audio may contain the snore activities of the bed partner or other person. False capturing of the snoring activity could lead to critical false alarms and misdiagnosis of the patients. To address this limitation, we propose a hypothesis that snore sound contains unique identity information which can be used for user recognition. We analyzed various machine learning models: Gaussian Mixture Model (GMM), GMM-UBM (Universial Background Model), and a Deep Neural Network (DNN) on MPSSC - an open source snoring dataset to evaluate the validity of our hypothesis. Our results are promising as we achieved around 90% accuracy in identification and verification tasks. This work marks the first step towards understanding the practicality of snore based user monitoring to enable multiple healthcare applicaitons.",Included,,User Recognition - snore embeddings - Signal Quality checkpoint,,,,
rayyan-663014842,Attention-Based Transfer Learning for Efficient Obstructive Sleep Apnea (OSA) Classification on Snore Sound,2025,1,1,,,,,,Apichada Sillaparaya and Yuttapong Jiraraksopakun and Kosin Chamnongthai and Apichai Bhatranand,https://doi.org/10.1109/access.2025.3575203,,,,"Polysomnography (PSG) is currently the gold-standard technique for classifying sleep apnea disorders. Yet, it is costly and requires an expert to score the severity, making it impractical for self-screening and home use. Snore sound classification with Deep Learning (DL) is a promising approach and has gained increasing interest due to its relationship with abnormal breathing conditions in both time and frequency domains. This study proposes an attention-based transfer learning model for non-invasive detection of obstructive sleep apnea (OSA) using audio signals. Mel-spectrograms and MFCC features were input into the MobileNetV3-Large to extract deep features. A modified SENet was implemented to provide suitable channel attention for the extracted features. The attention-based features are then classified into normal and abnormal snore events. The study evaluates model performance using 10-fold cross-validation on sound data of the 70 adult OSA patients of an open-source PSG-Audio dataset [1]. Results show that utilizing both Mel-Spectrogram and MFCCs as input features significantly enhances classification performance compared to single-feature models. In addition, the MobileNetV3-Large with modified SENet significantly outperforms the combination of other pre-trained and attention mechanisms. Specifically, the proposed model provides an accuracy of 92.576±0.910%, a sensitivity of 92.906±1.928%, a specificity of 92.269±2.740%, a precision of 92.173±3.024%, and an F1-score of 92.486±1.326% on the binary classification. Its performance also shows statistically significant improvement when benchmarked with other existing OSA classification models. Our proposed model demonstrates suitable potential for portable device-based sleep apnea monitoring applications.",Included,,MobileNetV3-Large,10.1109/access.2025.3575203,,,
rayyan-663014864,Snoring Sound Classification Using 1D-CNN Model Based on Multi-Feature Extraction,2022,1,1,,,,,,TosinAkinwale Adesuyi and Byeong-Man Kim and Jongwan Kim,https://doi.org/10.5391/ijfis.2022.22.1.1,,,,"Sound is an essential element of human relationships and communication. The sound recognition process involves three phases: signal preprocessing, feature extraction, and classification. This paper describes research on the classification of snoring data used to determine the importance of sleep health in humans. However, current sound classification methods using deep learning approaches do not yield desirable results for building good models. This is because some of the salient features required to sufficiently discriminate sounds and improve the accuracy of the classification are poorly captured during training. In this study, we propose a new convolutional neural network (CNN) model for sound classification using multi-feature extraction. The extracted features were used to form a new dataset that was used as the input to the CNN. Experiments were conducted on snoring and non-snoring datasets. The accuracy of the proposed model was 99.7% for snoring sounds, demonstrating an almost perfect classification and superior results compared to existing methods.",Included,,Mô hình 1D-CNN - chuẩn smartphone,10.5391/ijfis.2022.22.1.1,,,
rayyan-663014876,High-precision snore detection method based on deep learning,2022,1,1,,,,,,Wenjin Liu and Shudong Zhang and Lijuan Zhou,https://doi.org/10.1117/12.2660747,,,,"Obstructive Sleep Apnea Hypopnea Syndrome (OSAHS) is a sleep-related respiratory disease, and sleep snoring is its most common and direct feature. However, the current snoring detection methods require a lot of medical manpower and medical equipment resources, resulting in many OSAHS patients cannot be treated in time. Therefore, this paper proposes a snore detection method based on deep learning and a snore dataset. The detection method first calculates the time-domain waveform, spectrogram, and Mel-spectrogram for each audio segment in the snore dataset. Then, the snore is recognized by convolution neural network. To better apply this method to mobile devices and intelligent devices, MobileNetV2 is selected as the detection network to classify snoring and non-snoring images. The experimental results show that the proposed method can accurately recognize snores with 95.00% accuracy. And the spectrogram can better reflect the difference between snoring and non-snoring images.",Excluded,EC-A,,10.1117/12.2660747,,,
rayyan-663014878,Categorizing Simple Versus OSAHS Snoring Sound Using Quantifiable Acoustic Features and Machine Learning Classifiers,2025,1,1,,,,,,Suphachok Buaruk and Somrudee Deepaisarn,https://doi.org/10.1109/access.2025.3634389,,,,"This work tackles audio signal analysis problems related to snoring sounds of simple and obstructive sleep apnea/hypopnea syndrome (OSAHS) snorers by optimizing acoustic feature extraction and training various machine learning models. Relevant acoustic features, including Mel-frequency cepstral coefficients, zero crossing rate, root mean square, and spectral features, were extracted from snoring sound recordings. Two main tasks are performed: firstly, the classification of snoring sounds of simple snorers versus OSAHS patients, and secondly, the discrimination between apnea/hypopnea versus normal snoring events of OSAHS patients. The results show an outstanding performance in differentiating between the snoring sounds of simple snorers and OSAHS patients with an accuracy of 0.9982. The challenge is upon the binary classification between apnea/hypopnea versus normal snoring events in patients with OSAHS, which was evaluated using the subject-independent leave-one-subject-out cross-validation (LOSOCV) technique, yielding the best accuracy of 0.7838 and an F1-score of 0.7734, with the random forest model. Energy-related acoustic features were found to be crucial in distinguishing snoring patterns. In addition, the apnea/hypopnea index (AHI) was estimated from the snoring pattern classification using the LOSOCV technique. The extra trees classifier demonstrated a 0.8689 Pearson correlation coefficient (PCC) between predicted and PSG-measured AHI values. The highest performance in predicting three groups of AHI severity (mild, moderate, and severe), based on each subject’s AHI value, was achieved by the decision trees model with an accuracy of approximately 0.8621. Voting classifier, constructed from five classifiers, provides reliability of prediction by reducing bias through leveraging multiple models to mitigate errors inherent in binary classification, achieving an accuracy of 0.8276. The study proposes an estimation of AHI severity levels by analyzing individual events of snoring sounds, paving the way for applying acoustic feature analysis for unbiased, simple, and accurate pre-screening of sleep-related breathing disorders.",Excluded,IC -I,MARGINAL - bộ đặc trưng âm thanh kết hợp (Multi-feature),10.1109/access.2025.3634389,,,
rayyan-663014879,A Hybrid Deep Learning Model for Sleep Apnea Detection Using Smartphone-Recorded Audio Signals,2025,1,1,,,,,,Aman Kumar Rauniyar and Aayush Gupta and Muthaiah U,https://doi.org/10.1109/apcit65661.2025.11411480,,,,"Sleep apnea is a common underdiagnosed sleep disorder that, if left untreated, could cause serious health implications. Automated diagnosis from physiological signals has been the focus of recent research with a trade-off between accuracy and generalizability still wide open. This paper presents a convolutional neural network (CNN) with ResNet-18 architecture to detect sleep apnea from tracheal sound recordings. The study uses two datasets: (i) the publicly available PSG-Audio dataset, and (ii) another dataset of 52 subjects recorded for this study, thereby enhancing variability and resilience. Audio signals were preprocessed as spectrograms so that CNN-based feature extraction and classification could be performed. Experimental results indicate that the proposed method achieves an overall accuracy of 91%, sensitivity of 90.1%, and specificity of 93.7%, thereby demonstrating strong potential for reliable, non-invasive, and real-time screening of sleep apnea.",Excluded,EC-A,,10.1109/apcit65661.2025.11411480,,,
rayyan-663014881,A Novel Snore Detection and Suppression Method for a Flexible Patch With MEMS Microphone and Accelerometer,2022,1,1,,,,,,Chunhua He and Jiewen Tan and Xuelei Jian and Guangxiong Zhong and Heng Wu and Lianglun Cheng and Juze Lin,https://doi.org/10.1109/jiot.2022.3199085,,,,"Sleep apnea impacts more and more people all over the world, and obstructive sleep apnea of which is the most frequent. Hence, research on snoring detection and related suppression methods is extremely urgent. In this article, a novel low-cost flexible patch with MEMS microphone and accelerometer is developed to detect snore event and sleeping posture, and a small vibration motor embedded in the patch is designed to suppress snoring. Theoretical analyses of short-time energy, piecewise average filtering (PAF), and Mel-frequency cepstral coefficients (MFCCs) processing are described in detail, and the improved MFCCs are put forward and used as the input of the convolutional neural network (CNN). Furthermore, the snore recognition method based on the combination of similarity analysis and CNN analysis is presented, followed by the snoring suppression method. Experimental results demonstrate that the main features of the sound signals can be extracted effectively by PAF and MFCCs processing, and the data compression ratio is about 99.41%. Besides, the locations of the eigenvectors can be found accurately based on short-time energy analysis. The numbers of high similarity of snoring signals within 30 s are larger than 3, while those of non-snoring signals are often less than 3. If the preliminary screening with similarity analysis is passed, CNN analysis will be conducted to judge whether there are snoring events. The accuracy of snore recognition with CNN analysis is calculated to be as high as 99.25%. Finally, the average snoring time measured by the smart patch with snoring suppression is reduced to 15 from 135 min, which indicates that the proposed snore recognition and suppression methods are effective.",Excluded,EC-02,,10.1109/jiot.2022.3199085,,,
rayyan-663014885,Detection of Sleep Apnea Based on Snore Signals Using Machine Learning Techniques,2023,1,1,,,,,,Aiswarya Lakshmi,http://dx.doi.org/10.1109/iccpct58313.2023.10245110,,,,"People's quality of life is significantly influenced by the quantity and quality of their sleep. Snoring bothers other individuals in the room as well as the snorer, who gets the worst quality sleep as a result. Among the most prominent sleep disorders, Sleep Apnea can have very serious side effects, from elevated blood pressure to heart failure, if it goes undetected. Many people are still unaware of this disease. A hardware part using raspberry pi and a microphone is used for collecting audio sounds at night from a subject. In order to identify snoring, two classifiers namely Long-short Term Memory(LSTM) and Gated Recurrent Unit(GRU) are proposed in this study. First, we gathered a dataset of sounds, both snoring and not from a website and a real-time dataset from hardware prepared for this project. The diverse properties of snoring are represented by the Mel-Frequency Cepstrum Coefficients (MFCC) which are retrieved as distinctive elements of snoring. The LSTM is made to be able to receive different audio cues and synthesize data to recognize snoring. When compared to single-feature network processing, using several feature coefficients can more precisely pinpoint the characteristics of snoring. GRU is capable of working with variable-length input sequences and can record the audio signal's time-varying patterns.",Excluded,EC-A,,10.1109/iccpct58313.2023.10245110,,,
rayyan-663014886,An efficient deep model for children sleep apnea detection using snoring signals,2022,1,1,,,,,,Zirui Liang and Yue Zhou and Lifeng Ding and Xiaying Chen,https://doi.org/10.1145/3570773.3570862,,,,"Obstructive sleep apnea-hypopnea syndrome(OSAHS) is a risky disorder that has negative effects on individuals’ sleep or health. Snoring signals are widely accepted as a reliable and practical alternative in detecting sleep apnea to diagnose OSAHS. Most of previous works paid attention to detecting snoring signals or classifying the places of obstruction. In this paper, diagnosis of OSAHS in children via snoring signals classification is taken into consideration. We build our dataset via gathering and labeling patients and normal children's nocturnal sound recordings. A convolutional neural network (CNN) in parallel with a Transformer encoder network is applied in our method to extract the temporal and frequency information from the acoustic feature sequences. In the experiment our method achieves an accuracy of 95.96% in classifying patients’ abnormal snoring events and the snoring from normal children and an accuracy of 84.78% in identifying normal snoring, patients’ normal snoring and patients’ abnormal snoring. This is acceptable for clinical purposes and indicates that it is competent to serve as a practical tool for diagnosis of OSAHS in children.",Excluded,IC - P,MARGINAL - trẻ em,10.1145/3570773.3570862,,,
rayyan-663014897,Machine Listening for OSA Diagnosis,2025,1,1,,,,,,Benjamin Kye Jyn Tan and Esther Yanxin Gao and Nicole Kye Wen Tan and Brian Sheng Yep Yeo and Claire Jing‐Wen Tan and Adele Chin Wei Ng and Zhou Hao Leong and Chu Qin Phua and Maythad Uataya and Liang Chye Goh and Thun How Ong and Leong Chai Leow and Guang-Bin Huang and Song Tar Toh,https://doi.org/10.1016/j.chest.2025.04.006,,,,"BACKGROUND: Among 1 billion patients worldwide with OSA, 90% remain undiagnosed. The main barrier to diagnosis is the overnight polysomnogram, which requires specialized equipment, skilled technicians, and inpatient beds available only in tertiary sleep centers. Recent advances in artificial intelligence (AI) have enabled OSA detection using breathing sound recordings. RESEARCH QUESTION: What is the diagnostic accuracy of and how can we optimize machine listening for OSA? STUDY DESIGN AND METHODS: PubMed, Embase, Scopus, Web of Science, and IEEE Xplore databases were systematically searched. Two masked reviewers selected studies comparing the patient-level diagnostic performance of AI approaches using overnight audio recordings vs conventional diagnosis (apnea-hypopnea index) using a train-test split or k-fold cross-validation. Bayesian bivariate meta-analysis and meta-regression were performed. Publication bias was assessed by using a selection model. Risk of bias and evidence quality were assessed by using the Quality Assessment of Diagnostic Accuracy Studies-2 and the Grading of Recommendations, Assessment, Development, and Evaluation tools. RESULTS: From 6,254 records, 16 studies (41 models) trained on 4,864 participants and tested on 2,370 participants were included. No study had a high risk of bias. Machine listening achieved a pooled sensitivity (95% credible interval) of 90.3% (86.9%-93.1%), a specificity of 86.7% (83.1%-89.7%), a diagnostic OR of 60.8 (39.4-99.9), and positive and negative likelihood ratios of 6.78 (5.34-8.85) and 0.113 (0.079-0.152), respectively. At apnea-hypopnea index cutoffs of ≥ 5, ≥ 15, and ≥ 30 events per hour, sensitivities were 94.3% (90.3%-96.8%), 86.3% (80.1%-90.9%), and 86.3% (79.2%-91.1%); and specificities were 78.5% (68.0%-86.9%), 87.3% (81.8%-91.3%), and 89.5% (84.8%-93.3%). Meta-regression identified increased sensitivity for the following: higher audio sampling frequencies, non-contact microphones, higher OSA prevalence, and train-test split model evaluation. Accuracy was equal regardless of home smartphone vs in-laboratory professional microphone recordings, deep learning vs traditional machine learning, and variations in age and sex. Publication bias was not evident, and the evidence was of high quality. INTERPRETATION: In this study, machine listening achieved excellent diagnostic accuracy, superior to the STOP-Bang (snoring, tiredness, observed apnea, BP, BMI, age, neck size, gender) questionnaire and comparable to common home sleep tests. Digital medicine should be further explored and externally validated for accessible and equitable OSA diagnosis. CLINICAL TRIAL REGISTRATION: PROSPERO database; No.: CRD42024534235; URL: https://www.crd.york.ac.uk/PROSPERO/).",Included,,GOLD STANDARD META-ANALYSIS,10.1016/j.chest.2025.04.006,,,
rayyan-663014900,Coordinate Attention for 1D Audio-Based Sleep Apnea Detection: A Multi-Seed Empirical Study on Smartphone-Deployable Architectures,2026,1,1,,,,,,Yang L,https://apneasense.com/research,,,,"Sleep apnea affects an estimated 936 million adults globally, yet over 80% of cases remain undiagnosed due to the inaccessibility of polysomnography (PSG), the clinical gold standard. We present a lightweight neural network architecture for detecting sleep-disordered breathing events directly from smartphone audio, eliminating the need for wearable devices, cloud connectivity, or external sensors. The proposed architecture adapts the Coordinate Attention (CA) mechanism — originally proposed for 2D mobile vision networks — to one-dimensional biomedical time-series classification through a global-local feature fusion design that preserves temporal-position information in the attention map.Operating on a 200 × 3 acoustic feature matrix sampled at 1 Hz — comprising sound pressure level, SPL change rate, and a binary snore-presence indicator produced by a short-window snore-detection CNN as the Stage-1 output of a cascaded two-stage pipeline (the cascade architecture itself is the subject of companion work [Yang L., 2026a]) — we evaluate three architectures as Stage-2 classifier candidates: a vanilla 1D CNN baseline, an SE-Attention CNN, and the proposed Coordinate Attention (Coord-Attn) CNN. All three are evaluated under an identical training protocol across five random seeds (42, 123, 456, 789, 2026) on an internal dataset of 2,953 PSG-labeled 200-second windows drawn from 80 person-nights across 40 participants (in-laboratory PSG + portable PSG with nasal-airflow cannula). Results are reported as mean with 95% bootstrap confidence intervals (10,000 iterations) to characterize variability and pairwise differences are evaluated by paired-seed bootstrap. The Coord-Attn CNN achieves an accuracy of 87.14% (85.14, 89.68) and an F1-score of 86.94% (84.28, 89.77) while using only 14,001 parameters — a 93.2% reduction relative to the 204,801-parameter baseline (83.82% accuracy, 83.99% F1). Paired bootstrap analysis shows that Coord-Attn is statistically distinguishable from the Original baseline in six of seven metrics (Accuracy, Precision, Specificity, F1, AUC-ROC, AUC-PR; Recall is not). Against the SE-Attention CNN of comparable size, Coord-Attn provides a statistically significant advantage in Precision and Specificity but not in F1 or AUC, suggesting that the temporal-position-preserving property of Coordinate Attention is most beneficial when minimizing false alarms matters more than maximizing sensitivity. Data and code availability: The three model architectures, training pipeline, and bootstrap analysis code are publicly available at https://github.com/somnisense/ca1d-sleep-apnea under the MIT License. By design, no audio recordings, labels, or derived feature matrices are distributed with the repository: the original recordings were collected under participant consent that does not cover public release of either the waveforms or the derived features. Competing interests: The author is the founder of SomniAI LLC, the entity that may commercialize the technology described in this work. The methods described are also the subject of three co-filed U.S. provisional patent applications by SomniAI LLC. No external funding was received.",Included,,SOTA REFERENCE - Coordinate Attention từ 2D sang 1D (CA-1D) - giảm thiểu cảnh báo giả (false alarms),10.5281/zenodo.20663376,,,
