"title","year","authors","url","abstract","notes","doi"
"SimuSOE: A Simulated Snoring Dataset for Obstructive Sleep Apnea-Hypopnea Syndrome Evaluation during Wakefulness","2024","Jie Lin and Xiuping Yang and Li Xiao and Xinhong Li and Weiyan Yi and Yuhong Yang and Weiping Tu and Xiong Chen","http://arxiv.org/abs/2407.07397v1","Obstructive Sleep Apnea-Hypopnea Syndrome (OSAHS) is a prevalent chronic breathing disorder caused by upper airway obstruction. Previous studies advanced OSAHS evaluation through machine learning-based systems trained on sleep snoring or speech signal datasets. However, constructing datasets for training a precise and rapid OSAHS evaluation system poses a challenge, since 1) it is time-consuming to collect sleep snores and 2) the speech signal is limited in reflecting upper airway obstruction. In this paper, we propose a new snoring dataset for OSAHS evaluation, named SimuSOE, in which a novel and time-effective snoring collection method is introduced for tackling the above problems. In particular, we adopt simulated snoring which is a type of snore intentionally emitted by patients to replace natural snoring. Experimental results indicate that the simulated snoring signal during wakefulness can serve as an effective feature in OSAHS preliminary screening.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-O""]}",""
"Clustering and Data Augmentation to Improve Accuracy of Sleep Assessment and Sleep Individuality Analysis","2024","Shintaro Tamai and Masayuki Numao and Ken-ichi Fukui","http://arxiv.org/abs/2404.10299v2","Recently, growing health awareness, novel methods allow individuals to monitor sleep at home. Utilizing sleep sounds offers advantages over conventional methods like smartwatches, being non-intrusive, and capable of detecting various physiological activities. This study aims to construct a machine learning-based sleep assessment model providing evidence-based assessments, such as poor sleep due to frequent movement during sleep onset. Extracting sleep sound events, deriving latent representations using VAE, clustering with GMM, and training LSTM for subjective sleep assessment achieved a high accuracy of 94.8% in distinguishing sleep satisfaction. Moreover, TimeSHAP revealed differences in impactful sound event types and timings for different individuals.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-O""]}",""
"Automatic Classification of OSA related Snoring Signals from Nocturnal Audio Recordings","2021","Arun Sebastian and Peter A. Cistulli and Gary Cohen and Philip de Chazal","http://arxiv.org/abs/2102.12829v2","In this study, the development of an automatic algorithm is presented to classify the nocturnal audio recording of an obstructive sleep apnoea (OSA) patient as OSA related snore, simple snore and other sounds. Recent studies has been shown that knowledge regarding the OSA related snore could assist in identifying the site of airway collapse. Audio signal was recorded simultaneously with full-night polysomnography during sleep with a ceiling microphone. Time and frequency features of the nocturnal audio signal were extracted to classify the audio signal into OSA related snore, simple snore and other sounds. Two algorithms were developed to extract OSA related snore using an linear discriminant analysis (LDA) classifier based on the hypothesis that OSA related snoring can assist in identifying the site-of-upper airway collapse. An unbiased nested leave-one patient-out cross-validation process was used to select a high performing feature set from the full set of features. Results indicated that the algorithm achieved an accuracy of 87% for identifying snore events from the audio recordings and an accuracy of 72% for identifying OSA related snore events from the snore events. The direct method to extract OSA-related snore events using a multi-class LDA classifier achieved an accuracy of 64% using the feature selection algorithm. Our results gives a clear indication that OSA-related snore events can be extracted from nocturnal sound recordings, and therefore could potentially be used as a new tool for identifying the site of airway collapse from the nocturnal audio recordings.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}",""
"Classification of Infant Sleep/Wake States: Cross-Attention among Large Scale Pretrained Transformer Networks using Audio, ECG, and IMU Data","2023","Kai Chieh Chang and Mark Hasegawa-Johnson and Nancy L. McElwain and Bashima Islam","http://arxiv.org/abs/2306.15808v1","Infant sleep is critical to brain and behavioral development. Prior studies on infant sleep/wake classification have been largely limited to reliance on expensive and burdensome polysomnography (PSG) tests in the laboratory or wearable devices that collect single-modality data. To facilitate data collection and accuracy of detection, we aimed to advance this field of study by using a multi-modal wearable device, LittleBeats (LB), to collect audio, electrocardiogram (ECG), and inertial measurement unit (IMU) data among a cohort of 28 infants. We employed a 3-branch (audio/ECG/IMU) large scale transformer-based neural network (NN) to demonstrate the potential of such multi-modal data. We pretrained each branch independently with its respective modality, then finetuned the model by fusing the pretrained transformer layers with cross-attention. We show that multi-modal data significantly improves sleep/wake classification (accuracy = 0.880), compared with use of a single modality (accuracy = 0.732). Our approach to multi-modal mid-level fusion may be adaptable to a diverse range of architectures and tasks, expanding future directions of infant behavioral research.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-1, EC-W""]}",""
"A Snoring Sound Dataset for Body Position Recognition: Collection, Annotation, and Analysis","2023","Li Xiao and Xiuping Yang and Xinhong Li and Weiping Tu and Xiong Chen and Weiyan Yi and Jie Lin and Yuhong Yang and Yanzhen Ren","http://arxiv.org/abs/2307.13346v1","Obstructive Sleep Apnea-Hypopnea Syndrome (OSAHS) is a chronic breathing disorder caused by a blockage in the upper airways. Snoring is a prominent symptom of OSAHS, and previous studies have attempted to identify the obstruction site of the upper airways by snoring sounds. Despite some progress, the classification of the obstruction site remains challenging in real-world clinical settings due to the influence of sleep body position on upper airways. To address this challenge, this paper proposes a snore-based sleep body position recognition dataset (SSBPR) consisting of 7570 snoring recordings, which comprises six distinct labels for sleep body position: supine, supine but left lateral head, supine but right lateral head, left-side lying, right-side lying and prone. Experimental results show that snoring sounds exhibit certain acoustic features that enable their effective utilization for identifying body posture during sleep in real-world scenarios.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}",""
"Development of Personalized Sleep Induction System based on Mental States","2022","Young-Seok Kweon and Gi-Hwan Shin and Heon-Gyu Kwak","http://arxiv.org/abs/2212.05669v1","Sleep is an essential behavior to prevent the decrement of cognitive, motor, and emotional performance and various diseases. However, it is not easy to fall asleep when people want to sleep. There are various sleep-disturbing factors such as the COVID-19 situation, noise from outside, and light during the night. We aim to develop a personalized sleep induction system based on mental states using electroencephalogram and auditory stimulation. Our system analyzes users' mental states using an electroencephalogram and results of the Pittsburgh sleep quality index and Brunel mood scale. According to mental states, the system plays sleep induction sound among five auditory stimulation: white noise, repetitive beep sounds, rainy sound, binaural beat, and sham sound. Finally, the sleep-inducing system classified the sleep stage of participants with 94.7 percent and stopped auditory stimulation if participants showed non-rapid eye movement sleep. Our system makes 18 participants fall asleep among 20 participants.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-O""]}",""
"A Systematic Review on Sleep Stage Classification and Sleep Disorder Detection Using Artificial Intelligence","2024","Tayab Uddin Wara and Ababil Hossain Fahad and Adri Shankar Das and Md. Mehedi Hasan Shawon","http://arxiv.org/abs/2405.11008v3","Sleep is vital for people's physical and mental health, and sound sleep can help them focus on daily activities. Therefore, a sleep study that includes sleep patterns and sleep disorders is crucial to enhancing our knowledge about individuals' health status. This study aims to provide a comprehensive, systematic review of the recent literature to analyze the different approaches and their outcomes in sleep studies, which includes works on ""sleep stages classification"" and ""sleep disorder detection"" using AI. In this review, 183 articles were initially selected from different journals, among which 80 records were enlisted for explicit review, ranging from 2016 to 2023. Brain waves were the most commonly employed body parameters for sleep staging and disorder studies (almost 29% of the research used brain activity signals exclusively, and 77% combined with the other signals). The convolutional neural network (CNN), the most widely used of the 34 distinct artificial intelligence models, comprised 27%. The other models included the long short-term memory (LSTM), support vector machine (SVM), random forest (RF), and recurrent neural network (RNN), which consisted of 11%, 6%, 6%, and 5% sequentially. For performance metrics, accuracy was widely used for a maximum of 83.75% of the cases, the F1 score of 45%, Kappa of 36.25%, Sensitivity of 31.25%, and Specificity of 30% of cases, along with the other metrics. This article would help physicians and researchers get the gist of AI's contribution to sleep studies and the feasibility of their intended work.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-N""]}",""
"Possibility of Sleep Induction using Auditory Stimulation based on Mental States","2021","Young-Seok Kweon and Gi-Hwan Shin","http://arxiv.org/abs/2112.06463v1","Sleep has a significant role to maintain our health. However, people have struggled with sleep induction because of noise, emotion, and complicated thoughts. We hypothesized that there was more effective auditory stimulation to induce sleep based on their mental states. We investigated five auditory stimulation: sham, repetitive beep, binaural beat, white noise, and rainy sounds. The Pittsburgh sleep quality index was performed to divide subjects into good and poor sleep groups. To verify the subject's mental states between initiation of sessions, a psychomotor vigilance task and Stanford sleepiness scale (SSS) were performed before auditory stimulation. After auditory stimulation, we asked subjects to report their sleep experience during auditory stimulation. We also calculated alpha dominant duration that was the period that represents the wake period during stimulation. We showed that there were no differences in reaction time and SSS between sessions. It indicated sleep experience is not related to the timeline. The good sleep group fell asleep more frequently than the poor sleep group when they hear white noise and rainy sounds. Moreover, when subjects failed to fall asleep during sham, most subjects fell asleep during rainy sound (Cohen's kappa: -0.588). These results help people to select suitable auditory stimulation to induce sleep based on their mental states.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-0""]}",""
"A Sleep Monitoring System Based on Audio, Video and Depth Information","2025","Lyn Chao-ling Chen and Kuan-Wen Chen and Yi-Ping Hung","http://arxiv.org/abs/2512.06282v1","For quantitative evaluation of sleep disturbances, a noninvasive monitoring system is developed by introducing an event-based method. We observe sleeping in home context and classify the sleep disturbances into three types of events: motion events, light-on/off events and noise events. A device with an infrared depth sensor, a RGB camera, and a four-microphone array is used in sleep monitoring in an environment with barely light sources. One background model is established in depth signals for measuring magnitude of movements. Because depth signals cannot observe lighting changes, another background model is established in color images for measuring magnitude of lighting effects. An event detection algorithm is used to detect occurrences of events from the processed data of the three types of sensors. The system was tested in sleep condition and the experiment result validates the system reliability.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}",""
"A Large-Scale Study of a Sleep Tracking and Improving Device with Closed-loop and Personalized Real-time Acoustic Stimulation","2022","Anh Nguyen and Galen Pogoncheff and Ban Xuan Dong and Nam Bui and Hoang Truong and Nhat Pham and Linh Nguyen and Hoang Huu Nguyen and Sy Duong-Quy and Sangtae Ha and Tam Vu","http://arxiv.org/abs/2211.02592v1","Various intervention therapies ranging from pharmaceutical to hi-tech tailored solutions have been available to treat difficulty in falling asleep commonly caused by insomnia in modern life. However, current techniques largely remain ill-suited, ineffective, and unreliable due to their lack of precise real-time sleep tracking, in-time feedback on the therapies, an ability to keep people asleep during the night, and a large-scale effectiveness evaluation. Here, we introduce a novel sleep aid system, called Earable, that can continuously sense multiple head-based physiological signals and simultaneously enable closed-loop auditory stimulation to entrain brain activities in time for effective sleep promotion. We develop the system in a lightweight, comfortable, and user-friendly headband with a comprehensive set of algorithms and dedicated own-designed audio stimuli. We conducted multiple protocols from 883 sleep studies on 377 subjects (241 women, 119 men) wearing either a gold-standard device (PSG), Earable, or both concurrently. We demonstrate that our system achieves (1) a strong correlation (0.89 +/- 0.03) between the physiological signals acquired by Earable and those from the gold-standard PSG, (2) an 87.8 +/- 5.3% agreement on sleep scoring using our automatic real-time sleep staging algorithm with the consensus scored by three sleep technicians, and (3) a successful non-pharmacological stimulation alternative to effectively shorten the duration of sleep falling by 24.1 +/- 0.1 minutes. These results show that the efficacy of Earable exceeds existing techniques in intentions to promote fast falling asleep, track sleep state accurately, and achieve high social acceptance for real-time closed-loop personalized neuromodulation-based home sleep care.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-W, EC-0""]}",""
"What does the Universe sound like?","2026","Francesco Iacovelli","http://arxiv.org/abs/2603.29996v1","Unlike electromagnetic telescopes, gravitational-wave (GW) detectors cannot produce pretty pictures, but we can convert GW signals into sound. I compute what the Universe actually sounds like by averaging over $\sim10^6$ synthetic compact binary coalescence events occurring throughout 2026. The result: a soothing, low-frequency rumble, perfect for sleeping, meditation, or contemplating the violent nature of spacetime. This is the $Universal\ harmony$, audio file included!","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-0""]}",""
"Integrating Health Sensing into Cellular Networks: Human Sleep Monitoring Using 5G Signals","2026","Ruxin Lin and Peihao Yan and Jie Lu and Qijun Wang and Huacheng Zeng","http://arxiv.org/abs/2603.02558v1","Cellular networks offer a unique opportunity to enable device-free and wide-area health monitoring by exploiting the sensitivity of radio-frequency (RF) propagation to human physiological activities. In this paper, we present the first experimental study of human sleep monitoring using realistic 5G signals collected from commercial cellular infrastructure. We investigate a practical scenario in which a smartphone is placed near a bed, and a 5G base station periodically configures uplink sounding reference signal (SRS) transmissions to obtain fine-grained channel state information (CSI). Leveraging uplink CSI measurements, we design a lightweight signal processing pipeline for respiration rate estimation and a CNN model for sleep body movement classification. Through extensive experiments conducted on an indoor private 5G network, our system achieves over 91.2% accuracy in respiration rate estimation and 85.5% accuracy in sleep movement classification.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}",""
