title,authors,year,doi,source,url,population,intervention,comparison,outcomes,study_type,confidence_score,abstract
Automatic Home-based Screening of Obstructive Sleep Apnea Using Single Channel Electrocardiogram and SPO2 Signals,Hosna Ghandeharioun,2021.0,10.5121/ijaia.2021.12605,arxiv,http://arxiv.org/abs/2110.00660v2,155 subjects from three different databases,Automatic home-based detection of obstructive sleep apnea (OSA) using single channel electrocardiogram and SpO2 signals,,over 85% performance in detecting apnoeic episodes,,0.8,"Obstructive sleep apnea (OSA) is one of the most widespread respiratory diseases today. Complete or relative breathing cessations due to upper airway subsidence during sleep is OSA. It has confirmed potential influence on Covid-19 hospitalization and mortality, and is strongly associated with major comorbidities of severe Covid-19 infection. Un-diagnosed OSA may also lead to a variety of severe physical and mental side-effects. To score OSA severity, nocturnal sleep monitoring is performed under defined protocols and standards called polysomnography (PSG). This method is time-consuming, expensive, and requiring professional sleep technicians. Automatic home-based detection of OSA is welcome and in great demand. It is a fast and effective way for referring OSA suspects to sleep clinics for further monitoring. On-line OSA detection also can be a part of a closed-loop automatic control of the OSA therapeutic/assistive devices. In this paper, several solutions for online OSA detection are introduced and tested on 155 subjects of three different databases. The best combinational solution uses mutual information (MI) analysis for selecting out of ECG and SpO2-based features. Several methods of supervised and unsupervised machine learning are employed to detect apnoeic episodes. To achieve the best performance, the most successful classifiers in four different ternary combination methods are used. The proposed configurations exploit limited use of biological signals, have online working scheme, and exhibit uniform and acceptable performance (over 85%) in all the employed databases. The benefits have not been gathered all together in the previous published methods."
A 1D-CNN Based Deep Learning Technique for Sleep Apnea Detection in IoT Sensors,Arlene John; Barry Cardiff; Deepu John,2021.0,10.1109/iscas51556.2021.9401300.,arxiv,http://arxiv.org/abs/2105.00528v1,Individuals with sleep apnea-hypopnea syndrome,1-dimensional convolutional neural network for apnea detection from ECG signals,Several lower resolution state-of-the-art apnea detection methods,Accuracy of 99.56%; Sensitivity of 96.05%; Accuracy of pruned model with 80% sparsity: 97.34%; Sensitivity of pruned model with 80% sparsity: 86.48%; Accuracy of binarized model: 75.59%; Sensitivity of binarized model: 63.23%; Average accuracy of patient-specific models: 97.79%; Average sensitivity of patient-specific models: 92.23%,,0.9,"Internet of Things (IoT) enabled wearable sensors for health monitoring are widely used to reduce the cost of personal healthcare and improve quality of life. The sleep apnea-hypopnea syndrome, characterized by the abnormal reduction or pause in breathing, greatly affects the quality of sleep of an individual. This paper introduces a novel method for apnea detection (pause in breathing) from electrocardiogram (ECG) signals obtained from wearable devices. The novelty stems from the high resolution of apnea detection on a second-by-second basis, and this is achieved using a 1-dimensional convolutional neural network for feature extraction and detection of sleep apnea events. The proposed method exhibits an accuracy of 99.56% and a sensitivity of 96.05%. This model outperforms several lower resolution state-of-the-art apnea detection methods. The complexity of the proposed model is analyzed. We also analyze the feasibility of model pruning and binarization to reduce the resource requirements on a wearable IoT device. The pruned model with 80\% sparsity exhibited an accuracy of 97.34% and a sensitivity of 86.48%. The binarized model exhibited an accuracy of 75.59% and sensitivity of 63.23%. The performance of low complexity patient-specific models derived from the generic model is also studied to analyze the feasibility of retraining existing models to fit patient-specific requirements. The patient-specific models on average exhibited an accuracy of 97.79% and sensitivity of 92.23%. The source code for this work is made publicly available."
Energy-Efficient Real-Time 4-Stage Sleep Classification at 10-Second Resolution,Zahra Mohammadi; Parnian Fazel; Siamak Mohammadi,2025.0,10.1007/s11517-026-03616-x,arxiv,http://arxiv.org/abs/2508.11664v2,Individuals with sleep disorders such as sleep apnea and insomnia,Energy-efficient sleep stage classification using a single-lead electrocardiogram (ECG) signal and SleepLiteCNN model,Conventional methods like polysomnography,Accuracy of 89%; F1-score of 89%; Energy consumption of 5.48 microJ per inference; 90% accuracy and F1-score after 8-bit quantization,,0.9,"Sleep stage classification is critical for diagnosing and managing disorders like sleep apnea and insomnia. However, conventional methods like polysomnography are costly and impractical for long-term, home-based monitoring. This study presents an energy-efficient approach for detecting four sleep stages (wake, rapid eye movement (REM), light sleep, deep sleep) using a single-lead electrocardiogram (ECG) signal. We evaluate various machine learning and deep learning models, introducing two windowing strategies: (1) a 5-minute window with 30-second steps for machine learning and (2) a 30-second window with 10-second steps for deep learning, enabling 10-second temporal resolution for real-time predictions. While deep learning models like MobileNet-v1 achieve high accuracy (92%) and F1-score (91%), their energy demands make them unsuitable for wearables. To address this, we design SleepLiteCNN, optimized for ECG-based sleep staging, achieving 89\% accuracy and 89% F1-score while minimizing energy use. Applying 8-bit quantization further reduces energy consumption to 5.48 microJ per inference, with 90% accuracy and F1-score. Additionally, field-programmable gate array (FPGA) deployment shows significant reductions in resource usage. This approach provides a practical, energy-efficient solution for continuous ECG-based sleep monitoring in resource-constrained wearable devices."
Permutation time irreversibility in sleep electroencephalograms: Dependence on sleep stage and the effect of equal values,Wenpo Yao,2024.0,10.1103/physreve.109.054104,arxiv,http://arxiv.org/abs/2405.02802v1,"5 groups of EEGs in the awake, stages I, II, III, and rapid eye movement (REM) stages",permutation time irreversibility (pTIR) analysis of EEG data,,pTIR of sleep EEGs significantly decreases as the sleep stage increases (p<0.001); greater differences in pTIR between awake and REM EEGs than others; distribution of equal states significantly increases with the sleep stage (p<0.001),Comprehensive study,0.9,"Time irreversibility (TIR) refers to the manifestation of nonequilibrium brain activity influenced by various physiological conditions; however, the influence of sleep on electroencephalogram (EEG) TIR has not been sufficiently investigated. In this paper, a comprehensive study on permutation TIR (pTIR) of EEG data under different sleep stages is conducted. Two basic ordinal patterns (i.e., the original and amplitude permutations) are distinguished to simplify sleep EEGs, and then the influences of equal values and forbidden permutation on pTIR are elucidated. To detect pTIR of brain electric signals, 5 groups of EEGs in the awake, stages I, II, III, and rapid eye movement (REM) stages are collected from the public Polysomnographic Database in PhysioNet. Test results suggested that the pTIR of sleep EEGs significantly decreases as the sleep stage increases (p<0.001), with the awake and REM EEGs, demonstrating greater differences than others. Comparative analysis and numerical simulations support the importance of equal values. Distribution of equal states, a simple quantification of amplitude fluctuations, significantly increases with the sleep stage (p<0.001). If these equalities are ignored, incorrect probabilistic differences may arise in the forward-backward and symmetric permutations of TIR, leading to contradictory results; moreover, the ascending and descending orders for symmetric permutations also lead different outcomes in sleep EEGs. Overall, pTIR in sleep EEGs contributes to our understanding of quantitative TIR and classification of sleep EEGs."
Toward Foundational Model for Sleep Analysis Using a Multimodal Hybrid Self-Supervised Learning Framework,Cheol-Hui Lee; Hakseung Kim; Byung C. Yoon; Dong-Joo Kim,2025.0,10.1109/tcyb.2025.3603608,arxiv,http://arxiv.org/abs/2502.17481v3,Individuals undergoing sleep analysis for quality assessment and sleep disorder diagnosis,"SynthSleepNet, a multimodal hybrid self-supervised learning framework for analyzing polysomnography (PSG) data",state-of-the-art methods,"sleep-stage classification accuracy: 89.89%; apnea detection accuracy: 99.75%; hypopnea detection accuracy: 89.60%; semi-supervised learning accuracies: 87.98% (sleep-stage classification), 99.37% (apnea detection), 77.52% (hypopnea detection)",,0.9,"Sleep is essential for maintaining human health and quality of life. Analyzing physiological signals during sleep is critical in assessing sleep quality and diagnosing sleep disorders. However, manual diagnoses by clinicians are time-intensive and subjective. Despite advances in deep learning that have enhanced automation, these approaches remain heavily dependent on large-scale labeled datasets. This study introduces SynthSleepNet, a multimodal hybrid self-supervised learning framework designed for analyzing polysomnography (PSG) data. SynthSleepNet effectively integrates masked prediction and contrastive learning to leverage complementary features across multiple modalities, including electroencephalogram (EEG), electrooculography (EOG), electromyography (EMG), and electrocardiogram (ECG). This approach enables the model to learn highly expressive representations of PSG data. Furthermore, a temporal context module based on Mamba was developed to efficiently capture contextual information across signals. SynthSleepNet achieved superior performance compared to state-of-the-art methods across three downstream tasks: sleep-stage classification, apnea detection, and hypopnea detection, with accuracies of 89.89%, 99.75%, and 89.60%, respectively. The model demonstrated robust performance in a semi-supervised learning environment with limited labels, achieving accuracies of 87.98%, 99.37%, and 77.52% in the same tasks. These results underscore the potential of the model as a foundational tool for the comprehensive analysis of PSG data. SynthSleepNet demonstrates comprehensively superior performance across multiple downstream tasks compared to other methodologies, making it expected to set a new standard for sleep disorder monitoring and diagnostic systems."
Multi-Scored Sleep Databases: How to Exploit the Multiple-Labels in Automated Sleep Scoring,Luigi Fiorillo; Davide Pedroncelli; Valentina Agostini; Paolo Favaro; Francesca Dalia Faraci,2022.0,10.1093/sleep/zsad028,arxiv,http://arxiv.org/abs/2207.01910v3,patients undergoing polysomnography,training lightweight deep learning models with label smoothing and soft-consensus (LSSC) distribution,training models on scorer consensus,increase in averaged cosine similarity (ACS) up to 6.4%,Experimental study,0.9,"Study Objectives: Inter-scorer variability in scoring polysomnograms is a well-known problem. Most of the existing automated sleep scoring systems are trained using labels annotated by a single scorer, whose subjective evaluation is transferred to the model. When annotations from two or more scorers are available, the scoring models are usually trained on the scorer consensus. The averaged scorer's subjectivity is transferred into the model, losing information about the internal variability among different scorers. In this study, we aim to insert the multiple-knowledge of the different physicians into the training procedure. The goal is to optimize a model training, exploiting the full information that can be extracted from the consensus of a group of scorers. Methods: We train two lightweight deep learning based models on three different multi-scored databases. We exploit the label smoothing technique together with a soft-consensus (LSSC) distribution to insert the multiple-knowledge in the training procedure of the model. We introduce the averaged cosine similarity metric (ACS) to quantify the similarity between the hypnodensity-graph generated by the models with-LSSC and the hypnodensity-graph generated by the scorer consensus. Results: The performance of the models improves on all the databases when we train the models with our LSSC. We found an increase in ACS (up to 6.4%) between the hypnodensity-graph generated by the models trained with-LSSC and the hypnodensity-graph generated by the consensus. Conclusion: Our approach definitely enables a model to better adapt to the consensus of the group of scorers. Future work will focus on further investigations on different scoring architectures and hopefully large-scale-heterogeneous multi-scored datasets."
BreathAI: Transfer Learning-Based Thermal Imaging for Automated Breathing Pattern Recognition,Hamza Kheddar; Yassine Himeur; Abbes Amira,2026.0,10.1109/icip55913.2025.11084681,arxiv,http://arxiv.org/abs/2604.17442v1,Individuals with respiratory disorders such as sleep apnea and asthma,Adaptive Transfer Learning and Thresholding-based Deep Learning Model (ATL-TDLM) using thermal imaging,,Accuracy of 98.8%; Improved inter-class separability between inhalation and exhalation phases,,0.9,"This study presents an Adaptive Transfer Learning and Thresholding-based Deep Learning Model (ATL-TDLM) for automated breathing pattern recognition using thermal imaging. Unlike conventional methods that rely on sound-based respiratory data, our approach leverages hierarchical deep feature extraction and adaptive multi-thresholding (AMT) to enhance feature segmentation. The model integrates knowledge distillation-based fine-tuning (KD-FT) to optimize learning transfer and contrastive representation learning (CRL) to improve inter-class separability between inhalation (INH) and exhalation (EXH) phases. The ATL-TDLM framework achieves an accuracy of 98.8%, significantly outperforming state-of-the-art models while ensuring computational efficiency. This approach has potential applications in respiratory disorder detection, including sleep apnea and asthma monitoring."
Comparison analysis between standard polysomnographic data and in-ear-EEG signals: A preliminary study,Gianpaolo Palo; Luigi Fiorillo; Giuliana Monachino; Michal Bechny; Michel Walti; Elias Meier; Francesca Pentimalli Biscaretti di Ruffia; Mark Melnykowycz; Athina Tzovara; Valentina Agostini; Francesca Dalia Faraci,2024.0,10.1093/sleepadvances/zpae087,arxiv,http://arxiv.org/abs/2401.10107v4,ten healthy subjects aged 18 to 60 years,in-ear-EEG sensor,standard polysomnography (PSG),"large variability between PSG and in-ear-EEG hypnograms scored by the same sleep expert according to Cohen's kappa metric; significantly greater agreements for PSG scorers than for in-ear-EEG scorers (p < 0.001) based on Fleiss' kappa metric; high similarity between PSG and in-ear-EEG signals in terms of JSD-FSI (0.79 +/- 0.06 -awake, 0.77 +/- 0.07 -NREM, and 0.67 +/- 0.10 -REM)",Preliminary study,0.9,"Study Objectives: Polysomnography (PSG) currently serves as the benchmark for evaluating sleep disorders. Its discomfort makes long-term monitoring unfeasible, leading to bias in sleep quality assessment. Hence, less invasive, cost-effective, and portable alternatives need to be explored. One promising contender is the in-ear-EEG sensor. This study aims to establish a methodology to assess the similarity between the single-channel in-ear-EEG and standard PSG derivations. Methods: The study involves four-hour signals recorded from ten healthy subjects aged 18 to 60 years. Recordings are analyzed following two complementary approaches: (i) a hypnogram-based analysis aimed at assessing the agreement between PSG and in-ear-EEG-derived hypnograms; and (ii) a feature-based analysis based on time- and frequency- domain feature extraction, unsupervised feature selection, and definition of Feature-based Similarity Index via Jensen-Shannon Divergence (JSD-FSI). Results: We find large variability between PSG and in-ear-EEG hypnograms scored by the same sleep expert according to Cohen's kappa metric, with significantly greater agreements for PSG scorers than for in-ear-EEG scorers (p < 0.001) based on Fleiss' kappa metric. On average, we demonstrate a high similarity between PSG and in-ear-EEG signals in terms of JSD-FSI (0.79 +/- 0.06 -awake, 0.77 +/- 0.07 -NREM, and 0.67 +/- 0.10 -REM) and in line with the similarity values computed independently on standard PSG-channel-combinations. Conclusions: In-ear-EEG is a valuable solution for home-based sleep monitoring, however further studies with a larger and more heterogeneous dataset are needed."
Data-Efficient Sleep Staging with Synthetic Time Series Pretraining,Niklas Grieger; Siamak Mehrkanoon; Stephan Bialonski,2024.0,10.3390/a18090580,arxiv,http://arxiv.org/abs/2403.08592v2,human subjects with limited EEG data,frequency pretraining of a neural network for sleep staging,fully supervised learning,surpasses fully supervised learning in limited data scenarios; matches performance in many subjects; relevance of frequency information for sleep stage scoring; utilization of information beyond frequencies to enhance sleep staging performance,experimental study,0.9,"Analyzing electroencephalographic (EEG) time series can be challenging, especially with deep neural networks, due to the large variability among human subjects and often small datasets. To address these challenges, various strategies, such as self-supervised learning, have been suggested, but they typically rely on extensive empirical datasets. Inspired by recent advances in computer vision, we propose a pretraining task termed ""frequency pretraining"" to pretrain a neural network for sleep staging by predicting the frequency content of randomly generated synthetic time series. Our experiments demonstrate that our method surpasses fully supervised learning in scenarios with limited data and few subjects, and matches its performance in regimes with many subjects. Furthermore, our results underline the relevance of frequency information for sleep stage scoring, while also demonstrating that deep neural networks utilize information beyond frequencies to enhance sleep staging performance, which is consistent with previous research. We anticipate that our approach will be advantageous across a broad spectrum of applications where EEG data is limited or derived from a small number of subjects, including the domain of brain-computer interfaces."
Wital: A COTS WiFi Devices Based Vital Signs Monitoring System Using NLOS Sensing Model,Xiang Zhang; Yu Gu; Huan Yan; Yantong Wang; Mianxiong Dong; Kaoru Ota; Fuji Ren; Yusheng Ji,2023.0,10.1109/thms.2023.3264247,arxiv,http://arxiv.org/abs/2305.14490v1,patients requiring vital sign monitoring,"Wital, a contactless vital sign monitoring system using COTS Wi-Fi devices",,effectiveness in monitoring vital signs,,0.8,"Vital sign (breathing and heartbeat) monitoring is essential for patient care and sleep disease prevention. Most current solutions are based on wearable sensors or cameras; however, the former could affect sleep quality, while the latter often present privacy concerns. To address these shortcomings, we propose Wital, a contactless vital sign monitoring system based on low-cost and widespread commercial off-the-shelf (COTS) Wi-Fi devices. There are two challenges that need to be overcome. First, the torso deformations caused by breathing/heartbeats are weak. How can such deformations be effectively captured? Second, movements such as turning over affect the accuracy of vital sign monitoring. How can such detrimental effects be avoided? For the former, we propose a non-line-of-sight (NLOS) sensing model for modeling the relationship between the energy ratio of line-of-sight (LOS) to NLOS signals and the vital sign monitoring capability using Ricean K theory and use this model to guide the system construction to better capture the deformations caused by breathing/heartbeats. For the latter, we propose a motion segmentation method based on motion regularity detection that accurately distinguishes respiration from other motions, and we remove periods that include movements such as turning over to eliminate detrimental effects. We have implemented and validated Wital on low-cost COTS devices. The experimental results demonstrate the effectiveness of Wital in monitoring vital signs."
From Sleep Staging to Spindle Detection: A Case Study on End-to-End Automated Sleep Analysis,Niklas Grieger; Siamak Mehrkanoon; Philipp Ritter; Stephan Bialonski,2025.0,10.1038/s41598-026-53891-9,arxiv,http://arxiv.org/abs/2505.05371v2,bipolar patients and healthy controls,fully automated analysis using validated machine learning models for sleep staging (RobustSleepNet) and spindle detection (SUMOv2),expert-based study,significant differences in fast spindle densities between bipolar patients and healthy controls; inter-rater agreement for both sleep staging and spindle detection,Case study,0.9,"Automation of sleep analysis, including both macrostructural (sleep stages) and microstructural (e.g., sleep spindles) elements, promises to enable large-scale sleep studies and to reduce variance due to inter-rater incongruencies. While individual steps, such as sleep staging and spindle detection, have been studied separately, the feasibility of automating multi-step sleep analysis remains unclear. In this case study, we evaluate whether a fully automated analysis using validated machine learning models for sleep staging (RobustSleepNet) and subsequent spindle detection (SUMOv2) can replicate findings from an expert-based study of bipolar disorder. The automated analysis qualitatively reproduced key findings from the expert-based study, including significant differences in fast spindle densities between bipolar patients and healthy controls, accomplishing in minutes what previously took months to complete manually. While the results of the automated analysis differed quantitatively from the expert-based study, possibly due to biases between expert raters or between raters and the models, the models individually performed at or above inter-rater agreement for both sleep staging and spindle detection. Our results demonstrate that fully automated approaches have the potential to facilitate large-scale sleep research. We are providing public access to the tools used in our automated analysis by sharing our code and introducing SomnoBot, a privacy-preserving sleep analysis platform."
